T_C,R_ntc_ohm_manual,V_out_V_manual,R_pullup_inferred_ohm,ADC_8bit_from_Vout,AirPoly_T_C_at_ADC,WaterPoly_T_C_at_ADC,AirPoly_err_C_vs_T,WaterPoly_err_C_vs_T,Temp_LUT_scaledBosch_C_at_ADC,AirPoly_err_C_vs_LUT,WaterPoly_err_C_vs_LUT,AirPoly_corr_T_C,WaterPoly_corr_T_C,AirCorr_err_C_vs_T,WaterCorr_err_C_vs_T
20.0,2400.0,2.4,2600.0,122,17.848857157999994,14.548019397000012,-2.151142842000006,-5.451980602999988,18.659480967198874,-0.81062380919888,-4.111461570198863,15.901256724409107,16.466584436409104,-4.098743275590893,-3.5334155635908964
30.0,1600.0,1.9,2610.53,97,27.329552133000004,25.240072172,-2.6704478669999965,-4.759927827999999,29.06058410606593,-1.731031973065928,-3.82051193406593,25.381951699409118,27.158637211409093,-4.618048300590882,-2.8413627885909065
40.0,1200.0,1.5,2800.0,76,38.72878160400003,37.29784278500001,-1.2712183959999734,-2.7021572149999926,38.914379095820415,-0.18559749182038843,-1.6165363108204076,36.78118117040914,39.2164078244091,-3.218818829590859,-0.783592175590897
60.0,600.0,0.9,2733.33,46,63.52511867400001,62.28402432500001,3.525118674000012,2.2840243250000114,58.14618083806546,5.3789378359345505,4.13784348693455,61.57751824040913,64.2025893644091,1.5775182404091268,4.202589364409107
80.0,320.0,0.5,2880.0,26,87.494054054,85.777391685,7.494054054000003,5.777391684999998,79.56856180781115,7.925492246188853,6.2088298771888475,85.54645362040911,87.69595672440909,5.54645362040911,7.695956724409086
100.0,180.0,0.3,2820.0,15,103.76261272300002,101.546445304,3.762612723000018,1.5464453040000024,101.43427137722395,2.3283413457760673,0.11217392677605176,101.81501228940913,103.46501034340909,1.8150122894091254,3.465010343409091
