ADC,Temp_datasheet_C,Temp_refit_cubic_C,Refit_minus_datasheet_C
0,793.3555743304667,117.27004443652737,-676.0855298939393
1,214.53438219903825,115.6175099471918,-98.91687225184644
2,185.3369904416894,113.98435514072156,-71.35263530096785
3,168.18838208462714,112.37043848978944,-55.8179435948377
4,155.97240508942124,110.7756184670682,-45.196786622353045
5,146.45893099098416,109.19975354523065,-37.25917744575351
6,138.6545981173041,107.64270219694959,-31.011895920354505
7,132.02951455016307,106.10432289489778,-25.925191655265294
8,126.26737979667153,104.58447411174804,-21.682905684923497
9,121.16417154924844,103.08301432017313,-18.081157229075302
10,116.632405292952,101.59980199284587,-15.032603300106132
11,112.53216943070974,100.13469560243905,-12.39747382827069
12,108.8621334639619,98.68755362162541,-10.174579842336485
13,105.6410108761559,97.2582345230778,-8.3827763530781
14,102.64636230630319,95.84659677946897,-6.799765526834221
15,99.84719867911518,94.4524988634717,-5.394699815643477
16,97.22405872411512,93.07579924775882,-4.148259476356301
17,94.7496628206243,91.71635640500311,-3.0333064156211833
18,92.40691480757388,90.37402880787735,-2.032885999696532
19,90.18149284279424,89.04867492905431,-1.1328179137399275
20,88.21549696271549,87.74015324120683,-0.4753437215086649
21,86.35125721694897,86.44832221700766,0.09706500005869145
22,84.5661445862161,85.17304032912958,0.6068957429134798
23,82.85305931481102,83.91416605024541,1.061106735434393
24,81.20580780827181,82.67155785302793,1.4657500447561205
25,79.63851433402142,81.44507421014991,1.806559876128489
26,78.18586490820476,80.23457359428416,2.0487086860793937
27,76.78192765041614,79.03991447810347,2.2579868276873327
28,75.42310680647775,77.86095533428062,2.4378485278028705
29,74.1061846244343,76.69755463548842,2.59137001105411
30,72.82827006225845,75.5495708543996,2.7213007921411503
31,71.58675590882687,74.41686246368702,2.8301065548601514
32,70.37928271458613,73.29928793602346,2.9200052214373358
33,69.23582630887256,72.19670574408167,2.960879435209108
34,68.13640798501702,71.10897436053445,2.972566375517431
35,67.06401959482264,70.03595225805462,2.971932663231982
36,66.01709513776727,68.97749790931495,2.9604027715476775
37,64.99419678673321,67.93346978698821,2.9392730002549996
38,63.99400120164079,66.90372636374723,2.909725162106433
39,63.01528762094406,65.88812611226474,2.8728384913206853
40,62.05692746081799,64.88652750521359,2.8296000443956046
41,61.11787519858323,63.89878901526657,2.780913816683345
42,60.19716035462078,62.92476911509642,2.72760876047564
43,59.34304571136186,61.96432627737596,2.6212805660141
44,58.518097535132945,61.01731897477797,2.4992214396450265
45,57.707858034362665,60.08360567997524,2.3757476456125772
46,56.91164482314332,59.16304486564057,2.2514000424972522
47,56.12881904384518,58.25549500444674,2.1266759606015597
48,55.358781691365266,57.36081456906655,2.002032877701282
49,54.60097031617914,56.47886203217277,1.877891715993627
50,53.85485606026223,55.6094958664382,1.7546398061759731
51,53.1199409863155,54.75257454453564,1.6326335582201423
52,52.395755666109594,53.90795653913786,1.512200873028263
53,51.681856998320484,53.07550032291766,1.3936433245971784
54,50.97782623010684,52.255064368547835,1.2772381384409925
55,50.283267159987155,51.446507148701166,1.163239988714011
56,49.60577976075286,50.649687136050446,1.0439073752975858
57,48.94247658613077,49.86446280326846,0.921986217137686
58,48.28740954561398,49.090692623028,0.8032830774140152
59,47.64026402504989,48.32823506800185,0.6879710429519648
60,47.000740776581225,47.57694861086281,0.5762078342815826
61,46.36855489249749,46.836691724283654,0.46813683178616117
62,45.7434348622687,46.10732288093719,0.3638880186684901
63,45.12512170476642,45.38870055349619,0.26357884872977166
64,44.513368168559026,44.68068321463346,0.16731504607443526
65,43.907937993939385,43.98312933702178,0.07519134308239472
66,43.30860523102103,43.29589739333394,-0.012707837687095491
67,42.7151536088348,42.61884585624272,-0.09630775259207525
68,42.12737595088285,41.951833198420935,-0.17554275246191509
69,41.545073633072235,41.29471789254135,-0.2503557405308854
70,40.96805608035869,40.64735841127677,-0.3206976690819232
71,40.396140298797285,40.00961322729998,-0.38652707149730503
72,39.84318516837299,39.38134081328376,-0.4618443550892337
73,39.327137715684785,38.76239964190091,-0.5647380737838716
74,38.815306942434724,38.15264818582422,-0.6626587566105044
75,38.307548984822624,37.55194491772647,-0.7556040670961508
76,37.80372519019976,36.960148310280445,-0.8435768799193184
77,37.30370183338779,36.377116836158955,-0.9265849972288365
78,36.807349850989894,35.802708968034764,-1.0046408829551297
79,36.31454459230933,35.23678317858069,-1.0777614137286449
80,35.82516558560997,34.6791979404695,-1.1459676451404732
81,35.339096318565474,34.12981172637403,-1.2092845921914446
82,34.85622403184005,33.588483008966996,-1.2677410228730537
83,34.37643952483473,33.05507026092122,-1.3213692639135104
84,33.8996369727127,32.529431954909505,-1.370205017803194
85,33.42571375389057,32.011426563604616,-1.414287190285954
86,32.95457028724816,31.500912559679367,-1.4536577275687925
87,32.486109878369895,30.99774841580653,-1.4883614625633648
88,32.02023857418495,30.501792604658895,-1.5184459695260557
89,31.55686502542264,30.01290359890926,-1.543961426513377
90,31.09590035634519,29.530939871230416,-1.5649604851147743
91,30.637258041260438,29.055759894295157,-1.5814981469652807
92,30.180853787354636,28.587222140776237,-1.5936316465783982
93,29.732397850315422,28.125185083346494,-1.607212766968928
94,29.289805428940944,27.669507194678683,-1.6202982342622612
95,28.84916818095455,27.2200469474456,-1.6291212335089504
96,28.410411304662695,26.77666281432006,-1.6337484903426365
97,27.973461689747865,26.339213267974817,-1.634248421773048
98,27.538247831935273,25.907556781082658,-1.6306910508526151
99,27.10469975148714,25.481551826316423,-1.6231479251707164
100,26.672748915274695,25.061056876348857,-1.6116920389258382
101,26.242328162194386,24.645930403852738,-1.5963977583416487
102,25.813371631709657,24.236030881500902,-1.577340750208755
103,25.38581469531446,23.831216781966116,-1.554597913348342
104,24.95959389072654,23.43134657792116,-1.5282473128053802
105,24.534646858630964,23.03627874203884,-1.4983681165921254
106,24.11091228180511,22.645871746991908,-1.4650405348132018
107,23.68832982646614,22.259984065453192,-1.4283457610129489
108,23.266840085691456,21.878474170095483,-1.3883659155959727
109,22.846384524770606,21.50120053359156,-1.345183991179045
110,22.426905428355642,21.12802162861421,-1.2988837997414322
111,22.00834584928309,20.758795927836225,-1.2495499214468637
112,21.590649558948133,20.393381903930383,-1.1972676550177503
113,21.17376099911703,20.0316380295695,-1.142122969547529
114,20.757625235069483,19.67342277742634,-1.0842024576431442
115,20.342187909967762,19.318594620173698,-1.0235932897940643
116,19.93350357572786,18.96701203048437,-0.966491545243489
117,19.554149676220607,18.61853348103115,-0.935616195189457
118,19.175288876262847,18.27301744448679,-0.9022714317760574
119,18.796873110681105,17.930322393524094,-0.8665507171570113
120,18.418854648423093,17.590306800815917,-0.8285478476071759
121,18.04118605573121,17.252829139034958,-0.7883569166962516
122,17.663820159875492,16.917747880854073,-0.7460722790214191
123,17.286710013375924,16.584921498946002,-0.7017885144299214
124,16.90980885864519,16.254208465983595,-0.6556003926615936
125,16.533070092985106,15.92546725463955,-0.6076028383455565
126,16.156447233870466,15.598556337586736,-0.5578908962837303
127,15.77989388445558,15.273334187497902,-0.5065596969576784
128,15.403363699239186,14.949659277045875,-0.45370442219331153
129,15.026810349824277,14.627390078903417,-0.3994202709208601
130,14.65018749070966,14.3063850657433,-0.34380242496636093
131,14.273448725049597,13.986502710238355,-0.2869460148112424
132,13.896547570318845,13.667601485061319,-0.22894608525752602
133,13.519437423819276,13.349539862885038,-0.16989756093423836
134,13.142071527963576,13.032176316382255,-0.1098952115813212
135,12.764402935271693,12.715369318225818,-0.04903361704587539
136,12.386384473013683,12.398977341088461,0.012592868074777996
137,12.007968707431894,12.08285885764301,0.07489015021111634
138,11.629107907474157,11.76687234056216,0.13776443308800168
139,11.249754007966906,11.450876262518847,0.20112225455194022
140,10.869858572156867,11.134729096185765,0.26487052402889866
141,10.489372753545949,10.818289314235741,0.3289165606897928
142,10.108247256942738,10.50141538934156,0.39316813239882187
143,9.741789529585219,10.18396579417599,0.44217626459077053
144,9.380710216986426,9.86579900141183,0.48508878442540393
145,9.018884630812387,9.546773483721879,0.5278888529094914
146,8.65626416400952,9.226747713778906,0.570483549769385
147,8.292799588363149,8.905580164255724,0.6127805758925753
148,7.928441011598361,8.583129307825132,0.6546882962267713
149,7.5631378331388515,8.259253617159885,0.6961157840210337
150,7.196838698420794,7.933811564932782,0.7369728665119881
151,6.829491451652254,7.606661623816592,0.7771701721643378
152,6.461043086902602,7.277662266484143,0.816619179581541
153,6.091439697400049,6.946671965608232,0.8552322682081828
154,5.720626422908211,6.613549193861601,0.8929227709533905
155,5.348547395043536,6.278152423917078,0.9296050288735422
156,4.975145680388657,5.9403401284474455,0.9651944480587886
157,4.600363221245386,5.59997078012546,0.9996075588800739
158,4.224140773862788,5.256902851624005,1.032762077761217
159,3.846417843962609,4.910994815615766,1.0645769716531568
160,3.4671326193741154,4.562105144773554,1.0949725253994385
161,3.08622189957631,4.210092311770254,1.1238704121939436
162,2.703621021931005,3.854814789278521,1.1511937673475159
163,2.3192637843752975,3.4961310499712255,1.176867265595928
164,1.9330823643245754,3.133899566521052,1.2008172021964765
165,1.545007233518857,2.7679788116008837,1.2229715780820267
166,1.154967068524514,2.3982272578835335,1.2432601893590196
167,0.7628886565824892,2.0245033780417288,1.2616147214592397
168,0.3686967964685738,1.646665644748353,1.2779688482797793
169,-0.026216581439783226,1.2645725306760482,1.2907891121158315
170,-0.4037137980676597,0.878082508497684,1.2817963065653437
171,-0.7834382528619805,0.4870540508861012,1.2704923037480818
172,-1.1654697338243487,0.09134563051398459,1.2568153643383333
173,-1.5498904650857117,-0.30918427994581066,1.240706185139901
174,-1.9367852373397696,-0.7146772078205288,1.2221080295192408
175,-2.3262415460630876,-1.125274680437343,1.2009668656257446
176,-2.718349738121171,-1.5411182251235118,1.1772315129976594
177,-3.113203167411551,-1.9623493692062084,1.1508537982053424
178,-3.5108983602542567,-2.3891096400126344,1.1217887202416224
179,-3.911535191304093,-2.8215405648699914,1.0899946264341018
180,-4.315217070831007,-3.2597836711055947,1.0554333997254126
181,-4.722051144293205,-3.7039804860465324,1.018070658246673
182,-5.132148505216706,-4.154272537020006,0.9778759681966998
183,-5.5456244224909215,-4.610801351353416,0.9348230711375054
184,-5.962598583299376,-5.073708456373737,0.8888901269256388
185,-6.383195353025136,-5.543135379408284,0.8400599736168521
186,-6.807544053604444,-6.0192236477842584,0.7883204058201851
187,-7.235779261953317,-6.502114788828919,0.7336644731243975
188,-7.6680411302595655,-6.991950329869411,0.6760908003901545
189,-8.104475730120763,-7.488871798232992,0.6156039318877706
190,-8.545235422721056,-7.993020721246836,0.5522147014742202
191,-8.990479257476462,-8.504538626238116,0.4859406312383463
192,-9.44037340184624,-9.023567040534118,0.4168063613121227
193,-9.895091605310386,-9.550247491462102,0.34484411384828384
194,-10.332102577940995,-10.084721506349098,0.2473810715918976
195,-10.76726167196609,-10.627130612522478,0.14013105944361115
196,-11.207471370439444,-11.177616337309445,0.029855033129999597
197,-11.652927786852816,-11.736320208037085,-0.0833924211842696
198,-12.103836905600641,-12.303383752032659,-0.1995468464320176
199,-12.560415288319286,-12.878948496623451,-0.3185332083041654
200,-13.02289084368136,-13.463155969136608,-0.4402651254552481
201,-13.491503667637057,-14.056147696899359,-0.5646440292623023
202,-13.966506962011241,-14.65806520723902,-0.6915582452277782
203,-14.448168040417759,-15.269050027482564,-0.820881987064805
204,-14.936769431672317,-15.889243684957364,-0.9524742532850468
205,-15.43261009229526,-16.51878770699065,-1.0861776146953908
206,-15.936006741335628,-17.157823620909454,-1.2218168795738258
